dbr:Little_Cop	wd:Q13618766
dbr:Masud_Ahmad	wd:Q11181243
dbr:Cielito_Lindo__u0028_film_u0029_	wd:Q5119580
dbr:Strange_Relationship__u0028_Prince_song_u0029_	wd:Q7621452
dbr:Hamlet__u0028_1948_film_u0029_	wd:Q27178
dbr:Wales	wd:Q25
dbr:Meet_the_Browns__u0028_TV_series_u0029_	wd:Q6807832
dbr:Tee_for_Two	wd:Q2061200
dbr:Te_Amo_Coraz_u00F3_n	wd:Q7690750
dbr:Mario_Philip_Azzopardi	wd:Q3092164
dbr:Guilty_by_Suspicion	wd:Q660890
dbr:Playing_with_Fire__u0028_N_u002D_Dubz_song_u0029_	wd:Q7203438
dbr:W_u002E__W_u002E__Norton__u0026__Company	wd:Q1282208
dbr:Men_of_Respect	wd:Q1471487
dbr:Tabu__u0028_actress_u0029_	wd:Q158233
dbr:University_of_Southampton	wd:Q76473
dbr:High_Wall	wd:Q5757395
dbr:Eagle_Squadron__u0028_film_u0029_	wd:Q3203198
dbr:Albert_Watson__u0028_South_Carolina_u0029_	wd:Q2639063
dbr:Michael_McKean	wd:Q1384181
dbr:Change_Ur_World	wd:Q2778168
dbr:William_Windham	wd:Q289313
dbr:Say_It_Isn_u0027_t_So__u0028_Bon_Jovi_song_u0029_	wd:Q2559363
dbr:Freak__u0028_The_Smashing_Pumpkins_song_u0029_	wd:Q5494149
dbr:Petar__u017D_ivkovi_u0107_	wd:Q955605
dbr:Tage_Danielsson	wd:Q1384021
dbr:Andy_Richter	wd:Q497851
dbr:Prick_Up_Your_Ears__u0028_Family_Guy_u0029_	wd:Q4047348
dbr:Edmond_O_u0027_Brien	wd:Q119935
dbr:Jekyll__u0026__Hyde__u0028_musical_u0029_	wd:Q1373366
dbr:Don_Cesare_di_Bazan	wd:Q3713494
dbr:University_College_Dublin	wd:Q1068258
dbr:Vicious_Delicious	wd:Q2537448
dbr:Alan_Silvestri	wd:Q313537
dbr:Tenth_Grade_Bleeds	wd:Q7700865
dbr:Petar_Brlek	wd:Q7171690
dbr:As_Tears_Go_By__u0028_song_u0029_	wd:Q2263951
dbr:City_Slickers_II_u003A__The_Legend_of_Curly_u0027_s_Gold	wd:Q1218462
dbr:Enigma__u0028_2001_film_u0029_	wd:Q705387
dbr:Tyagi__u0028_film_u0029_	wd:Q7859671
dbr:Gaston_Defferre	wd:Q608815
dbr:Lucky_7__u0028_album_u0029_	wd:Q6697842
dbr:Ningu_u00E9_land_u00E9_	wd:Q7038728
dbr:PlayStation_4	wd:Q5014725
dbr:Gretchen_Wilson	wd:Q443897
dbr:Dark_Souls	wd:Q1166232
dbr:Longview__u0028_song_u0029_	wd:Q545545
dbr:In_the_Hour_of_Trial	wd:Q6012325
dbr:The_Greaser_u0027_s_Gauntlet	wd:Q3521123
dbr:The_Wind_Rises	wd:Q888131
dbr:Garuda_Saukiyama	wd:Q18125035
dbr:Warner_Bros_u002E__Interactive_Entertainment	wd:Q2319420
dbr:J_u00E9_r_u00F4_me_de_Bontin	wd:Q3191095
dbr:Rumble_Fish	wd:Q845102
dbr:A_Kid_in_King_Arthur_u0027_s_Court	wd:Q947262
dbr:Eshtehard_County	wd:Q4808763
dbr:Mistress_of_the_Devil	wd:Q3271718
dbr:B_u002E__J_u002E__Ward__u0028_actress_u0029_	wd:Q2900254
dbr:ABC_Records	wd:Q287177
dbr:The_Redemption_of_a_Pal	wd:Q7759982
dbr:Burnout_2_u003A__Point_of_Impact	wd:Q1923111
dbr:John_Loves_Mary	wd:Q6245383
dbr:Richmond_u002C__London	wd:Q2500974
dbr:Ashish_Thakkar	wd:Q17026584
dbr:Cliff_Washburn	wd:Q5132791
dbr:Love_That_Brute	wd:Q12125888
dbr:The_Addiction	wd:Q2521217
dbr:Pursuit_Force_u003A__Extreme_Justice	wd:Q3410990
dbr:Happy_New_Year__u0028_2014_film_u0029_	wd:Q3127192
dbr:Cecil_B_u002E__DeMille	wd:Q72267
dbr:The_Lost_Slayer	wd:Q7748727
dbr:Howard_Keel	wd:Q325427
dbr:Supervixens	wd:Q1551593
dbr:Tom_u00E1__u0161__Rach_u016F_nek	wd:Q7820641
dbr:A_u002E_I_u002E__Artificial_Intelligence	wd:Q221113
dbr:Bow_Wow__u0028_rapper_u0029_	wd:Q312173
dbr:Enemies_Closer	wd:Q4126954
dbr:The_Woman_I_Love__u0028_song_u0029_	wd:Q7775488
dbr:O_u002E__E_u002E__Hasse	wd:Q90946
dbr:Hassan_Whiteside	wd:Q2627006
dbr:Merve_Kavak_u00E7__u0131_	wd:Q4165998
dbr:Bobby__u0028_2006_film_u0029_	wd:Q679657
dbr:Pure__u0028_Godflesh_album_u0029_	wd:Q3410922
dbr:Dann_Huff	wd:Q1164355
dbr:Behind_the_Mask__u0028_1958_film_u0029_	wd:Q4880860
dbr:One_Piece_u003A__Unlimited_Adventure	wd:Q262897
dbr:Frank_Sinatra	wd:Q40912
dbr:Kochi	wd:Q1800
dbr:The_Libertine__u0028_2000_film_u0029_	wd:Q960020
dbr:Chris_Carter__u0028_screenwriter_u0029_	wd:Q437267
dbr:Juanes	wd:Q43189
dbr:Pantera	wd:Q180880
dbr:Meatballs__u0028_film_u0029_	wd:Q2601425
dbr:The_Notorious_Bettie_Page	wd:Q178094
dbr:White_Fang__u0028_1991_film_u0029_	wd:Q135491
dbr:One_of_These_Days__u0028_Marcus_Hummon_song_u0029_	wd:Q7093539
dbr:AppStream	wd:Q93627
dbr:Konstantin_Koroteev	wd:Q4234062
dbr:Marisa_Tomei	wd:Q191828
dbr:Halloween__u0028_2007_film_u0029_	wd:Q909063
dbr:Devin_Dazzle__u0026__the_Neon_Fever	wd:Q5267486
dbr:Isn_u0027_t_She_Great	wd:Q3284069
dbr:Aanchal__u0028_1980_film_u0029_	wd:Q4661548
dbr:My_Darling_Clementine	wd:Q370252
dbr:Nine_Lives__u0028_1957_film_u0029_	wd:Q1402615
dbr:Beno_u00EE_t_Gratton	wd:Q382275
dbr:Blue_American	wd:Q4928820
dbr:Perdonami_u0021_	wd:Q3899740
dbr:Cold_Weather	wd:Q5142420
dbr:Pere_Ubu	wd:Q1500073
dbr:Michel_Debr_u00E9_	wd:Q296386
dbr:Tazeh_Kand_u002D_e_Masqaran	wd:Q6003780
dbr:Into_the_Abyss__u0028_film_u0029_	wd:Q3007211
dbr:City_of_Women	wd:Q18433
dbr:Animal_Kingdom__u0028_film_u0029_	wd:Q1144983
dbr:The_Emperor_u0027_s_Candlesticks__u0028_film_u0029_	wd:Q2999433
dbr:Dragon_Quest_X	wd:Q745481
dbr:Love_or_Lust__u0028_album_u0029_	wd:Q1474749
dbr:ShaoLan_Hsueh	wd:Q19058856
dbr:Kinsey__u0028_film_u0029_	wd:Q83656
dbr:Orson_Welles	wd:Q24829
dbr:Theresa_Is_a_Mother	wd:Q7782912
dbr:Municipality_of_Kamnik	wd:Q3503153
dbr:I_u0027_ll_Sleep_When_I_u0027_m_Dead__u0028_Bon_Jovi_song_u0029_	wd:Q2414492
dbr:Trondheim	wd:Q25804
dbr:Ambodivoanio	wd:Q2842190
dbr:Choodalani_Vundi	wd:Q5104735
dbr:Part_u002D_Time_Lover	wd:Q1135257
dbr:Damages__u0028_TV_series_u0029_	wd:Q912437
dbr:Francisco_Besosa	wd:Q5483189
dbr:Bob_Bassen	wd:Q4931756
dbr:A_Wednesday_u0021_	wd:Q2151097
dbr:Kirill_Semyonov	wd:Q16225051
dbr:Will_You_Still_Love_Me_u0025_3F__u0028_song_u0029_	wd:Q8003214
dbr:The_Stranger__u0028_Animorphs_u0029_	wd:Q7766933
dbr:The_Miller_u0027_s_Beautiful_Wife	wd:Q3283786
dbr:Paul_Cook__u0028_rugby_league_u0029_	wd:Q7149953
dbr:Show_Biz_Bugs	wd:Q7502930
dbr:Reginald_Le_Borg	wd:Q86685
dbr:Nagesh	wd:Q1022530
dbr:Ron_Latz	wd:Q7364065
dbr:12_X_5	wd:Q175070
dbr:Milton_Sperling	wd:Q3953024
dbr:Libya	wd:Q1016
dbr:Patrie	wd:Q3369977
dbr:The_Possessed__u0028_1965_film_u0029_	wd:Q3822103
dbr:Jack_Starrett	wd:Q382080
dbr:Martin_van_Amerongen	wd:Q2177926
dbr:Throb__u0028_album_u0029_	wd:Q7798319
dbr:The_Saint_Strikes_Back	wd:Q7762076
dbr:HC_Dynamo_Moscow	wd:Q1160302
dbr:Father_Came_Too_u0021_	wd:Q5437575
dbr:Snitch__u0028_film_u0029_	wd:Q3963099
dbr:You_u0027_re_the_Man	wd:Q8056658
dbr:Paap_Ki_Kamaee	wd:Q7121456
dbr:Abschied	wd:Q327645
dbr:Evgeny_Shaldybin	wd:Q742594
dbr:Like_This__u0028_Mims_song_u0029_	wd:Q6547150
dbr:Battlecat__u0028_record_producer_u0029_	wd:Q3636868
dbr:The_Runaways__u0028_film_u0029_	wd:Q206336
dbr:John_Michael_Montgomery	wd:Q1189986
dbr:Ready_for_the_Times_to_Get_Better	wd:Q7300685
dbr:Motobu_Ch_u014D_ki	wd:Q1147708
dbr:Alfr_u00E9_d_Radok	wd:Q1401223
dbr:Italian_Line	wd:Q3155852
dbr:Civic_Platform	wd:Q156868
dbr:Water_Drops_on_Burning_Rocks	wd:Q284103
dbr:Adelaide_Casely_u002D_Hayford	wd:Q4681689
dbr:Gold_and_the_Woman	wd:Q3772910
dbr:Stronger_Than_My_Heart	wd:Q7624644
dbr:Flipper_u0027_s_New_Adventure	wd:Q945906
dbr:Dost__u0028_1974_film_u0029_	wd:Q5299324
dbr:Leonardo_Benvenuti	wd:Q1134748
dbr:Hunslet_Hawks	wd:Q3143339
dbr:The_Time_u002C__the_Place_and_the_Girl__u0028_1929_film_u0029_	wd:Q7769293
dbr:Ella_Abra_u00E7_a_Jobim	wd:Q2913220
dbr:Fortunes_of_Captain_Blood	wd:Q578729
dbr:Lam_Manyee	wd:Q6480671
dbr:Shaotangpa	wd:Q7489187
dbr:Zach_Cregger	wd:Q3574497
dbr:Monsieur_Taxi	wd:Q3321478
dbr:Fear_No_Evil__u0028_1945_film_u0029_	wd:Q3795900
dbr:Comedy	wd:Q40831
dbr:Breakfast_for_Two	wd:Q3043290
dbr:Dragon_Quest_Monsters_u003A__Joker_2	wd:Q3038756
dbr:Gareth_Price	wd:Q5522946
dbr:Toilet_Paper__u0028_South_Park_u0029_	wd:Q268775
dbr:Glee__u0028_TV_series_u0029_	wd:Q152178
dbr:Auxerre	wd:Q167600
dbr:Alessio_Gelsini_Torresi	wd:Q3610503
dbr:Lady_of_the_Tropics	wd:Q931735
dbr:Pina__u0028_film_u0029_	wd:Q327027
dbr:The_Old_Testament__u0028_film_u0029_	wd:Q1194691
dbr:The_Curse_of_the_Jade_Scorpion	wd:Q335508
dbr:Every_Dog_Has_Its_Day	wd:Q5417489
dbr:Oru_Raagam_Pala_Thaalam	wd:Q18385649
dbr:I_u0027_ve_Got_a_Tiger_By_the_Tail	wd:Q5967299
dbr:Karni_Singh	wd:Q6372949
dbr:Album_Album	wd:Q4712769
dbr:Love_Interruption	wd:Q3837749
dbr:Amalie_Skram	wd:Q291676
dbr:A_Comprehensive_Guide_to_Moderne_Rebellion	wd:Q111794
dbr:The_Street_with_No_Name	wd:Q1106127
dbr:Tragedy_of_a_Ridiculous_Man	wd:Q1216853
dbr:Christopher_Walken	wd:Q185051
dbr:Romania	wd:Q218
dbr:Peter_Doohan	wd:Q1684279
dbr:What_About_Now__u0028_Daughtry_song_u0029_	wd:Q2598738
dbr:Te_Amo_Tanto	wd:Q7690751
dbr:Reproductions_Museum_Bilbao	wd:Q13221631
dbr:The_Restless_Sex	wd:Q925725
dbr:A_Thief_in_Paradise	wd:Q4660055
dbr:Arthur_Conan_Doyle	wd:Q35610
dbr:Only_You__u0028_1994_film_u0029_	wd:Q1540554
dbr:Tooth__u0026__Nail_Records	wd:Q2297042
dbr:Andrei_Igorov	wd:Q4197632
dbr:The_Lost_Planet	wd:Q7748711
dbr:Born_and_Raised_in_Compton	wd:Q4945875
dbr:Scavenger_Hunt	wd:Q2438429
dbr:Denis_Foley	wd:Q5257240
dbr:Govind_Nihalani	wd:Q3112826
dbr:Matri_u002D_Phony	wd:Q10327434
dbr:Dragnet__u0028_1951_TV_series_u0029_	wd:Q1247359
dbr:To__u0026__Fro	wd:Q7810810
dbr:Thomas_von_Westen	wd:Q329537
dbr:Red_Canyon__u0028_1949_film_u0029_	wd:Q7303846
dbr:Tilden_Campbell	wd:Q7802091
dbr:Goodbye__u0026__Amen	wd:Q3773393
dbr:S_u00F6_dert_u00E4_lje_SK	wd:Q1472950
dbr:Executive_car	wd:Q1357619
dbr:Lost_Angel__u0028_film_u0029_	wd:Q12125841
dbr:Django__u0028_web_framework_u0029_	wd:Q842014
dbr:Think_Fast_u002C__Mr_u002E__Moto	wd:Q1362559
dbr:Tully_Marshall	wd:Q2063267
dbr:All_I_Need_to_Know_about_Filmmaking_I_Learned_from_the_Toxic_Avenger	wd:Q3612107
dbr:Terra_Nova__u0028_Star_Trek_u003A__Enterprise_u0029_	wd:Q2435282
dbr:Convict_99	wd:Q5166548
dbr:Stolen_Summer	wd:Q5229540
dbr:Second_Choice	wd:Q7443191
dbr:Charlie_Major	wd:Q5085177
dbr:Freetown	wd:Q3780
dbr:Curly_Howard	wd:Q924567
dbr:Stephan_Stojchev	wd:Q17619567
dbr:Mammootty	wd:Q2721855
dbr:Fox_on_the_Box	wd:Q5477058
dbr:Asia_Argento	wd:Q232052
dbr:Primrose_Path__u0028_film_u0029_	wd:Q1785051
dbr:Dick_u0027_s_Picks_Volume_9	wd:Q1210252
dbr:_u0028_15875_u0029__1996_TP66	wd:Q1940868
dbr:Mark_Eddinger	wd:Q6767478
dbr:The_Thirteenth_Chair	wd:Q3522999
dbr:Tretyakov_Gallery	wd:Q183334
dbr:Stirling_Silliphant	wd:Q347945
dbr:Vazhkai	wd:Q7917617
dbr:Metropolitan_Museum_of_Art	wd:Q160236
dbr:Pe_u0111_a_Jerini_u0107_	wd:Q7179712
dbr:The_Red_Light_District	wd:Q1188399
dbr:Fadl_ibn_Shavur	wd:Q4703793
dbr:Thomas_Howard_u002C__21st_Earl_of_Arundel	wd:Q166517
dbr:Se_u00F1_ales	wd:Q1644051
dbr:A_Most_Wanted_Man__u0028_film_u0029_	wd:Q2819825
dbr:Walter_Mirisch	wd:Q707064
dbr:Seattle_Seahawks	wd:Q221878
dbr:Push_the_Button__u0028_The_Chemical_Brothers_album_u0029_	wd:Q550488
dbr:Sequoia__u0028_film_u0029_	wd:Q3479102
dbr:High_Spirits__u0028_film_u0029_	wd:Q1617874
dbr:Hippolyte_Girardot	wd:Q1620037
dbr:Alexander_Selivanov	wd:Q636932
dbr:Jaishankar	wd:Q6124275
dbr:Kobe_University	wd:Q1192597
dbr:Vladimir_Arnold	wd:Q157642
dbr:Prosenjit_Chatterjee	wd:Q7250587
dbr:Special_Agent__u0028_1935_film_u0029_	wd:Q2826775
dbr:Trading_Mom	wd:Q1879454
dbr:Royal_Medal	wd:Q746756
dbr:Laws_of_Attraction	wd:Q819109
dbr:Terrormolinos	wd:Q7704005
dbr:No_Man_u0027_s_Land__u0028_John_Michael_Montgomery_song_u0029_	wd:Q7044415
dbr:Hall__u0026__Oates	wd:Q733182
dbr:_u0027_Till_I_Collapse	wd:Q28004
dbr:The_Bold_Ones_u003A__The_Protectors	wd:Q7719043
dbr:Two_Upbuilding_Discourses_u002C__1844	wd:Q7859317
dbr:Deepti_Naval	wd:Q5250658
dbr:Philips_Wouwerman	wd:Q454671
dbr:Do_or_Die__u0028_Grace_Jones_song_u0029_	wd:Q5286415
dbr:Tony_Barwick	wd:Q7821851
dbr:Autobus_Number_Two	wd:Q15784744
dbr:Kiss_of_Life__u0028_Supergrass_song_u0029_	wd:Q6417105
dbr:Karlskrona	wd:Q25789
dbr:Nattuchakkeruttu	wd:Q18379671
dbr:Three_Kings__u0028_Family_Guy_u0029_	wd:Q4051442
dbr:Achilles_Alferaki	wd:Q340294
dbr:David_Railton	wd:Q5238871
dbr:More_Than_Words	wd:Q2251382
dbr:Trailer_Park_Boys_u003A__The_Movie	wd:Q7832799
dbr:The_Parent_Trap__u0028_1961_film_u0029_	wd:Q1217234
dbr:Karl_Malden	wd:Q94992
dbr:Summerlin_Parkway	wd:Q892701
dbr:Mean_18	wd:Q2968652
dbr:Up_the_Creek__u0028_song_u0029_	wd:Q7898103
dbr:New_York_Yankees	wd:Q213417
dbr:Blue_Collar__u0028_film_u0029_	wd:Q885666
dbr:Walter_Brennan	wd:Q219521
dbr:Mikhail_Egorovich_Alekseev	wd:Q4061684
dbr:Curtis_Leschyshyn	wd:Q961990
dbr:Symphony_of_Six_Million	wd:Q2374805
dbr:Love_Affair__u0028_1994_film_u0029_	wd:Q2070564
dbr:Katrina_Kaif	wd:Q9550
dbr:Popular_culture	wd:Q131265
dbr:John_Singleton	wd:Q363005
dbr:Bleu_Noir__u0028_song_u0029_	wd:Q2000400
dbr:Bernese_Alps	wd:Q327221
dbr:Black_Beauty_u003A__Live_at_the_Fillmore_West	wd:Q880071
dbr:Toronto_Maple_Leafs	wd:Q203384
dbr:Tomi_Sallinen	wd:Q2391141
dbr:The_Clever_Mrs_u002E__Carfax	wd:Q18914903
dbr:Nyayave_Devaru	wd:Q7070957
dbr:Earl_Thomas_Conley	wd:Q5326118
dbr:Flyaway__u0028_novel_u0029_	wd:Q5463269
dbr:Ron_Fricke	wd:Q2032881
dbr:Liberale_Cozza	wd:Q3831618
dbr:Legend_Land	wd:Q2736240
dbr:Democratic_socialism	wd:Q189280
dbr:Flood_Tide__u0028_film_u0029_	wd:Q18152472
dbr:Chiranjeevi	wd:Q313243
dbr:Johannes_Hildebrandt	wd:Q75765
dbr:Rhineland_u002D_Palatinate	wd:Q1200
dbr:Eros_International	wd:Q5395348
dbr:Ithaca_u002C__New_York	wd:Q217346
dbr:The_Wild_Geese	wd:Q64211
dbr:The_Tit_and_the_Moon	wd:Q1216772
dbr:Buy_U_a_Drank__u0028_Shawty_Snappin_u0027__u0029_	wd:Q852400
dbr:Teresa_Venerd_u00EC_	wd:Q524714
dbr:Pietro_Scalia	wd:Q1970454
dbr:Roubaix	wd:Q34001
dbr:Profile_Records	wd:Q3922628
dbr:Traitor__u0028_Captain_Scarlet_u0029_	wd:Q2435622
dbr:South_Bend_u002C__Indiana	wd:Q486877
dbr:His_Only_Son	wd:Q8842434
dbr:Peja_Stojakovi_u0107_	wd:Q277780
dbr:Shoot_the_Moon	wd:Q2394570
dbr:Up_in_Smoke__u0028_1957_film_u0029_	wd:Q7898071
dbr:David_Herman	wd:Q1174721
dbr:Boyz_II_Men	wd:Q651231
dbr:Bayswater_tube_station	wd:Q812631
dbr:Caucasian_race	wd:Q7129609
dbr:Kumar_Bhattacharyya_u002C__Baron_Bhattacharyya	wd:Q1791962
dbr:Korie_Lucious	wd:Q6432267
dbr:Democratic_League_of_Kosovo	wd:Q1164022
dbr:What_Every_Woman_Learns	wd:Q7991098
dbr:Todd_Day	wd:Q1626478
dbr:On_the_Old_Spanish_Trail	wd:Q7091446
dbr:Elaan_u002D_E_u002D_Jung	wd:Q5352547
dbr:True_Believer__u0028_1989_film_u0029_	wd:Q930392
dbr:Karen_Allen	wd:Q229137
dbr:Arrival__u0028_composition_u0029_	wd:Q2506273
dbr:Cookoo_Cavaliers	wd:Q5167164
dbr:The_Hunger_Games__u0028_film_series_u0029_	wd:Q11885031
dbr:Casino_Royale__u0028_1967_film_u0029_	wd:Q591272
dbr:Give_It_Up_u002C__Turn_It_Loose	wd:Q5565643
dbr:Baby_Face_Nelson__u0028_film_u0029_	wd:Q11838882
dbr:The_Truth_About_Youth	wd:Q610604
dbr:Unidentified_Flying_Oddball	wd:Q1795954
dbr:Michel_Picard__u0028_ice_hockey_u0029_	wd:Q1734842
dbr:Keenan_Wynn	wd:Q946859
dbr:New_Day__u0028_50_Cent_song_u0029_	wd:Q2752852
dbr:Toni_Braxton	wd:Q155412
dbr:Mourning_Becomes_Electra__u0028_film_u0029_	wd:Q775988
dbr:Real_u002D_time_strategy	wd:Q208189
dbr:Rudy_Rucker	wd:Q92849
dbr:All_Killer_u002C__No_Filler	wd:Q654056
dbr:Romance_of_the_Three_Kingdoms_III_u003A__Dragon_of_Destiny	wd:Q844223
dbr:NBC	wd:Q13974
dbr:Gridlock_u0027_d	wd:Q951966
dbr:The_Tomb_of_Ligeia	wd:Q1168586
dbr:Thomas_Hughes	wd:Q332580
dbr:The_Purge	wd:Q7758789
dbr:Brandy_Norwood	wd:Q690974
dbr:John_David_Booty	wd:Q3181326
dbr:Candy_Store_Rock	wd:Q3305947
dbr:Vivre_ou_survivre	wd:Q3561664
dbr:La_Com_u00E9_die_du_bonheur	wd:Q3207697
dbr:Richard_Benjamin	wd:Q495813
dbr:Elizabeth_Allen__u0028_actress_u0029_	wd:Q1609006
dbr:Keylela	wd:Q6398321
dbr:Black_Hawk_Down__u0028_film_u0029_	wd:Q221384
dbr:Police_procedural	wd:Q2321734
dbr:The_Enemy_Sex	wd:Q3986797
dbr:Sealed_with_a_Kiss__u0028_The_Eyeliners_album_u0029_	wd:Q7440632
dbr:A_Soundless_Echo	wd:Q16745513
dbr:Eraserhead	wd:Q11618
dbr:Vipindas	wd:Q7933497
dbr:Joan_Greenwood	wd:Q446064
dbr:Unified_Socialist_Party_of_Catalonia	wd:Q2630934
dbr:Napkor	wd:Q221440
dbr:Queen_Christina__u0028_film_u0029_	wd:Q1634665
dbr:Matteo_Babini	wd:Q3852067
dbr:The_Window	wd:Q960883
dbr:Secret_Enemies	wd:Q20814740
dbr:Back_in_My_Arms_Again	wd:Q2546767
dbr:Heavenward_Grand_Prix	wd:Q5694941
dbr:Edward_M_u002E__Holland	wd:Q5344266
dbr:Fletschhorn	wd:Q668348
dbr:Brothers__u0028_2009_film_u0029_	wd:Q948635
dbr:Ploshchad_Alexandra_Nevskogo_II__u0028_Saint_Petersburg_Metro_u0029_	wd:Q1860079
dbr:Troy_Rutter	wd:Q7846939
dbr:Fever_Pitch__u0028_2005_film_u0029_	wd:Q1304902
dbr:Memoir	wd:Q112983
dbr:Felix_Klein	wd:Q76641
dbr:The_Velvet_Rope	wd:Q777308
dbr:In_Transit__u0028_film_u0029_	wd:Q2414774
dbr:Sacred_Ground__u0028_film_u0029_	wd:Q7397084
dbr:Piranha_3D	wd:Q733995
dbr:Kevin_Durand	wd:Q320084
dbr:Penthouse__u0028_film_u0029_	wd:Q7165158
dbr:Castle_in_the_Sky	wd:Q498577
dbr:Trouble_Town	wd:Q13588729
dbr:John_Fillmore_Hayford	wd:Q531272
dbr:Talcott_Parsons	wd:Q203913
dbr:Green_Card__u0028_film_u0029_	wd:Q505135
dbr:Erich_Ollenhauer	wd:Q62185
dbr:Carlo_Ninchi	wd:Q2939231
dbr:The_Soft_Parade__u0028_song_u0029_	wd:Q3989364
dbr:The_Chant__u0028_album_u0029_	wd:Q7722118
dbr:Kenyon_Martin	wd:Q362214
dbr:The_Winning_of_Barbara_Worth	wd:Q3523392
dbr:Sujit_Kumar	wd:Q2364052
dbr:Jason_Robards	wd:Q296630
dbr:Addiction__u0028_Ryan_Leslie_song_u0029_	wd:Q4681107
dbr:Bryan_Robinson__u0028_American_football_u002C__born_1974_u0029_	wd:Q4845555
dbr:Scandal_in_Sorrento	wd:Q1143085
dbr:Battle_Cars	wd:Q3636839
dbr:People_Need_Love	wd:Q2003660
dbr:Ohio	wd:Q1397
dbr:The_Razor_u0027_s_Edge__u0028_1946_film_u0029_	wd:Q759322
dbr:Best_Friend__u0028_Toy_u002D_Box_song_u0029_	wd:Q1966554
dbr:Soundgarden	wd:Q174817
dbr:Gumrah__u0028_1993_film_u0029_	wd:Q16248726
dbr:Hulchul__u0028_2004_film_u0029_	wd:Q446100
dbr:AFX__u002F__LFO	wd:Q1082975
dbr:Cheney_Stadium	wd:Q2962638
dbr:K_u00F6_nigsberg	wd:Q4120832
dbr:Heard_It_Through_the_Grapevine__u0028_TV_series_u0029_	wd:Q18550847
dbr:Lage_Raho_Munna_Bhai	wd:Q980677
dbr:Magdalen_College_u002C__Oxford	wd:Q81162
dbr:Jean_u002D_Luc_Godard	wd:Q53001
dbr:Ken_Hodge_u002C__Jr_u002E_	wd:Q6382879
dbr:Sinuhe_Wallinheimo	wd:Q921096
dbr:Richard_Donner	wd:Q262130
dbr:Austin_u002C__Texas	wd:Q16559
dbr:Celluloide	wd:Q34643
dbr:Jason_Clarke__u0028_actor_u0029_	wd:Q402764
dbr:Sujoy_Ghosh	wd:Q10993792
dbr:Freaks	wd:Q1133723
dbr:The_Trap__u0028_1922_film_u0029_	wd:Q3989683
dbr:Twin_Peaks	wd:Q2085
dbr:Wake_Up_and_Die	wd:Q3978441
dbr:The_Party_u0027_s_Over__u0028_1965_film_u0029_	wd:Q7756208
dbr:Gosford_Park	wd:Q165392
dbr:Mount__u0026__Blade_u003A__With_Fire__u0026__Sword	wd:Q2587253
dbr:Aris_B_u002E_C_u002E_	wd:Q8383824
dbr:Teri_Meherbaniyan	wd:Q7702389
dbr:The_Way_Back	wd:Q575778
dbr:John_Shiban	wd:Q10307893
dbr:Parmeliaceae	wd:Q2573345
dbr:Mel__u0028_film_u0029_	wd:Q903583
dbr:Keemat__u0028_1973_film_u0029_	wd:Q10980046
dbr:Des_mots_qui_sonnent__u0028_song_u0029_	wd:Q5263581
dbr:Akkaldaama	wd:Q18209143
dbr:The_Drowning_Pool__u0028_film_u0029_	wd:Q1119142
dbr:Kurt_Russell	wd:Q103157
dbr:Barbra_Streisand	wd:Q4636
dbr:Every_Man_for_Himself__u0028_1980_film_u0029_	wd:Q972787
dbr:Stevie_Wonder	wd:Q714
dbr:The_Ghost_Breakers	wd:Q2088441
dbr:The_Card_Player	wd:Q1661014
dbr:Dan_Aykroyd	wd:Q105221
dbr:Clara_Bow	wd:Q234640
dbr:Ivan_Panfilov	wd:Q734851
dbr:Halifax_RLFC	wd:Q3125972
dbr:The_Lawless_Nineties	wd:Q3553332
dbr:Sex_Pot__u0028_1975_film_u0029_	wd:Q452790
dbr:Eddie_the_Eagle__u0028_film_u0029_	wd:Q19571557
dbr:The_Black_Stallion_Returns	wd:Q3226418
dbr:Sidewalks_of_New_York__u0028_2001_film_u0029_	wd:Q1731966
dbr:Double_u002C__Double__u0028_Star_Trek_novel_u0029_	wd:Q5299565
dbr:Terrance_and_Phillip_in_Not_Without_My_Anus	wd:Q898211
dbr:Gerhard_Bigalk	wd:Q75159
dbr:Juhi_Chawla	wd:Q158745
dbr:Tonight_u002C__Tonight__u0028_The_Smashing_Pumpkins_song_u0029_	wd:Q2527634
dbr:Aaron_Selber_u002C__Jr_u002E_	wd:Q14594727
dbr:Mother_u0027_s_Little_Helper	wd:Q1259099
dbr:Man_with_No_Name	wd:Q596978
dbr:Water__u0028_2005_film_u0029_	wd:Q617395
dbr:Little_Things__u0028_One_Direction_song_u0029_	wd:Q498505
dbr:The_Private_Navy_of_Sgt_u002E__O_u0027_Farrell	wd:Q3210553
dbr:Jack_and_the_Beanstalk_u003A__The_Real_Story	wd:Q586199
dbr:The_Michael_J_u002E__Fox_Foundation	wd:Q507085
dbr:Mukesh_Tiwari	wd:Q6933441
dbr:The_Hopes_of_Blind_Alley	wd:Q7740260
dbr:Rastislav_Pavlikovsk_u00FD_	wd:Q672140
dbr:Hollywood	wd:Q34006
dbr:Try__u0028_album_u0029_	wd:Q7848392
dbr:Saudagar__u0028_1991_film_u0029_	wd:Q2054362
dbr:The_Pearl_of_Death	wd:Q1215374
dbr:The_Orchestral_Tubular_Bells	wd:Q1076453
dbr:Satham_Podathey	wd:Q7426119
dbr:IAO__u0028_album_u0029_	wd:Q1949365
