dbr:Hkamti_District	wd:Q15224287
dbr:Under_Control__u0028_Parachute_song_u0029_	wd:Q7883081
dbr:Maastricht	wd:Q1309
dbr:Newark_u002C__New_Jersey	wd:Q25395
dbr:Benny__u0026__Joon	wd:Q793074
dbr:Jekyll_and_Hyde_u002E__u002E__u002E__Together_Again	wd:Q1686618
dbr:The_Bad_Lands	wd:Q7715278
dbr:Let_u0027_s_Stay_Together__u0028_30_Rock_u0029_	wd:Q6532578
dbr:Lode_Runner	wd:Q1197566
dbr:Pappa_e_ciccia	wd:Q3894891
dbr:1634_u003A__The_Ram_Rebellion	wd:Q4551382
dbr:Wimbledon__u0028_film_u0029_	wd:Q660699
dbr:Rachel_Platten	wd:Q7279360
dbr:Francis_Goes_to_West_Point	wd:Q1944224
dbr:Jon_Bon_Jovi	wd:Q150916
dbr:Treat_Her_Like_a_Lady__u0028_Diana_King_song_u0029_	wd:Q6683128
dbr:Out_of_Reach__u0028_song_u0029_	wd:Q3887523
dbr:Mera_Saaya	wd:Q3419775
dbr:Huddersfield	wd:Q201812
dbr:Fast_Charlie_u002E__u002E__u002E__the_Moonbeam_Rider	wd:Q5436898
dbr:General_manager	wd:Q1210069
dbr:Stirling	wd:Q182923
dbr:Anger_Management__u0028_film_u0029_	wd:Q591556
dbr:Queen_Kelly	wd:Q288491
dbr:Heroes__u0028_2008_film_u0029_	wd:Q4137388
dbr:Welcome_to_Paradise	wd:Q393198
dbr:Music_of_the_Heart	wd:Q1117936
dbr:Call_Girl__u0028_Family_Guy_u0029_	wd:Q14917279
dbr:It_u0027_s_Too_Late__u0028_Evermore_song_u0029_	wd:Q6090858
dbr:That_Ain_u0027_t_My_Truck	wd:Q7711136
dbr:Richard_Hamilton__u0028_artist_u0029_	wd:Q159465
dbr:Windows_Vista	wd:Q11230
dbr:RFA_Cardigan_Bay__u0028_L3009_u0029_	wd:Q7276440
dbr:Love_Actually	wd:Q190588
dbr:Dimitrij_Kotschnew	wd:Q826163
dbr:Genius_2000	wd:Q1104522
dbr:Mario_Pisu	wd:Q1054390
dbr:The_Collection__u0028_album_series_u0029_	wd:Q1763343
dbr:Pat_Benatar	wd:Q235252
dbr:Merry_Christmas__u002E__u002E__u002E__Have_a_Nice_Life	wd:Q525383
dbr:23rd_March_1931_u003A__Shaheed	wd:Q4631657
dbr:Mammad_Amin_Rasulzade	wd:Q361311
dbr:Fracchia_la_belva_umana	wd:Q3749204
dbr:Catocala_connubialis	wd:Q5053667
dbr:UD_Vecindario	wd:Q655749
dbr:Ali_Hamroyev	wd:Q1898709
dbr:Watch_That_Man	wd:Q7973072
dbr:16_Blocks	wd:Q169000
dbr:Easy__u0028_Cro_song_u0029_	wd:Q1278349
dbr:Amies_u002D_ennemies	wd:Q4746179
dbr:Ro_u002E_Go_u002E_Pa_u002E_G_u002E_	wd:Q552002
dbr:Georg_Wilhelm_Friedrich_Hegel	wd:Q9235
dbr:Arzoo__u0028_1965_film_u0029_	wd:Q4802764
dbr:Titanic__u0028_1953_film_u0029_	wd:Q1197729
dbr:Crooked_Lake_Park_u002C__Florida	wd:Q2570565
dbr:Ankara	wd:Q3640
dbr:Remember_11_u003A__The_Age_of_Infinity	wd:Q866149
dbr:How_Beautiful_You_Are__u0028_Ayumi_Hamasaki_song_u0029_	wd:Q307681
dbr:Emir_Kusturica	wd:Q94882
dbr:Tupac_Shakur	wd:Q6107
dbr:Andie_MacDowell	wd:Q208558
dbr:Frank_Butler__u0028_writer_u0029_	wd:Q1443029
dbr:UE_Llagostera	wd:Q2504228
dbr:Shadows_in_the_Sun	wd:Q71954
dbr:Howard_Estabrook	wd:Q1631803
dbr:Sakura_Sakura__u0028_visual_novel_u0029_	wd:Q5972274
dbr:A_Little_Bit_of_Heaven__u0028_2011_film_u0029_	wd:Q1737991
dbr:Life_simulation_game	wd:Q1199309
dbr:Jade_Puget	wd:Q338498
dbr:H_u002E__B_u002E__Warner	wd:Q1562547
dbr:Columbia_TriStar_Motion_Picture_Group	wd:Q2065128
dbr:Jean_the_Birdman	wd:Q6171801
dbr:The_Hunchback_of_Notre_Dame__u0028_1956_film_u0029_	wd:Q1193923
dbr:Malpertuis__u0028_film_u0029_	wd:Q469218
dbr:Checking_Out__u0028_1989_film_u0029_	wd:Q2605140
dbr:Boys_on_the_Outside	wd:Q3929377
dbr:Marc_Daniels	wd:Q708343
dbr:Knut_Hamsun	wd:Q40826
dbr:The_Lair_of_the_White_Worm__u0028_film_u0029_	wd:Q1192545
dbr:Scooby_u002D_Doo__u0028_film_u0029_	wd:Q936302
dbr:Recess__u0028_TV_series_u0029_	wd:Q344081
dbr:Billy_Joel	wd:Q194333
dbr:Belly_of_the_Beast	wd:Q610201
dbr:_u00C9_mile_Borel	wd:Q154356
dbr:The_Ringer__u0028_2005_film_u0029_	wd:Q1156530
dbr:The_Saint__u0028_film_u0029_	wd:Q1753817
dbr:Stephen_Mirrione	wd:Q328379
dbr:In_Dubious_Battle	wd:Q582472
dbr:Chumbawamba	wd:Q1089523
dbr:Real_Balomp_u00E9_dica_Linense	wd:Q985272
dbr:Mindelo	wd:Q495547
dbr:Wagon_Train	wd:Q772909
dbr:Such_Great_Heights	wd:Q964577
dbr:Roderick_Alleyn	wd:Q7356588
dbr:Loving_the_Alien	wd:Q6692639
dbr:Molly_Shannon	wd:Q239145
dbr:Nelly_Furtado	wd:Q80424
dbr:From_the_Icy_Reaches	wd:Q5505675
dbr:Vernon_Maxwell	wd:Q2307611
dbr:Jars_of_Clay	wd:Q617822
dbr:Gerald_Fink	wd:Q1393576
dbr:Starfighter_Pilot__u0028_song_u0029_	wd:Q7601826
dbr:Montana_Jones	wd:Q697027
dbr:Seyed_Mehdi_Qiyassi	wd:Q7459026
dbr:Akira_Kitaguchi	wd:Q418769
dbr:Arnold_W_u002E__Braswell	wd:Q4795291
dbr:Sheena__u0028_film_u0029_	wd:Q767648
dbr:James_Foley__u0028_director_u0029_	wd:Q721389
dbr:Esha_Deol	wd:Q48622
dbr:Kingsize__u0028_The_Boo_Radleys_album_u0029_	wd:Q6413241
dbr:Jeff_Minter	wd:Q541962
dbr:Adelaide	wd:Q5112
dbr:Reindeer_Games	wd:Q676939
dbr:19_u002D_sai_no_Uta	wd:Q4557704
dbr:Doc_Hollywood	wd:Q691838
dbr:James_Tooley	wd:Q6144348
dbr:Superpickers	wd:Q7644102
dbr:Panguipulli_Lake	wd:Q1800389
dbr:Scott_Barney	wd:Q382564
dbr:Audio_engineer	wd:Q128124
dbr:Histoire_u0028_s_u0029__du_cin_u00E9_ma	wd:Q2533567
dbr:Don_u0027_t_Let_It_Bring_You_Down	wd:Q5291722
dbr:Enco_River	wd:Q4532009
dbr:Ronald_Thomas_Shepherd	wd:Q7365325
dbr:Serge_van_den_Ban	wd:Q2785860
dbr:That_Touch_of_Mink	wd:Q1304614
dbr:Busan	wd:Q16520
dbr:Le_Plaisir	wd:Q1518288
dbr:Jeff_Cowan	wd:Q1686287
dbr:Overjoyed__u0028_Stevie_Wonder_song_u0029_	wd:Q3887677
dbr:Kraljevo	wd:Q206317
dbr:The_Lions_Are_Loose	wd:Q3236383
dbr:Dmitri_Kazionov	wd:Q1232389
dbr:Dreamin_u0027___u0028_Weezer_song_u0029_	wd:Q5306581
dbr:Mark_Weil	wd:Q732050
dbr:Posse__u0028_1975_film_u0029_	wd:Q1500885
dbr:Those_Lips_u002C__Those_Eyes	wd:Q7796831
dbr:Guadalcanal_Diary__u0028_film_u0029_	wd:Q1552582
dbr:Aidan_Gillen	wd:Q358032
dbr:Konsotamy	wd:Q6429838
dbr:Three__u0028_TV_series_u0029_	wd:Q7797318
dbr:G_u00E4_rstenh_u00F6_rner	wd:Q920863
dbr:Tomoyo_Harada	wd:Q1138339
dbr:Joe_Rock	wd:Q1691570
dbr:Oru_Mukham_Pala_Mukham	wd:Q7105130
dbr:Someday_Never_Comes	wd:Q7559622
dbr:Bella__u0028_film_u0029_	wd:Q815759
dbr:Frontier_in_Space	wd:Q769759
dbr:Carrington__u0028_film_u0029_	wd:Q2658045
dbr:Les_plus_belles_escroqueries_du_monde	wd:Q1212729
dbr:Norman_Warner	wd:Q7052915
dbr:Phone_Call_from_a_Stranger	wd:Q1304513
dbr:Theme_from_Harry_u0027_s_Game	wd:Q2078135
dbr:Bad_Education__u0028_film_u0029_	wd:Q844819
dbr:The_Longest_Daycare	wd:Q255309
dbr:Parts_of_the_Process__u0028_The_Very_Best_of_Morcheeba_u0029_	wd:Q718843
dbr:Gotta_Have_You	wd:Q5587981
dbr:Woman_Times_Seven	wd:Q1753626
dbr:Coldblooded__u0028_James_Brown_song_u0029_	wd:Q5142495
dbr:Dichomeris_bulawskii	wd:Q20686456
dbr:The_Fifth_Musketeer	wd:Q970655
dbr:St_u002E__Ives__u0028_novel_u0029_	wd:Q4675044
dbr:HC_Lada_Togliatti	wd:Q1349
dbr:Charisma_Records	wd:Q1063242
dbr:Breakdown__u0028_1997_film_u0029_	wd:Q465789
dbr:Poova_Thalaiya	wd:Q16313925
dbr:Novodevichy_Cemetery	wd:Q208175
dbr:WHBX	wd:Q7950095
dbr:Captains_of_the_Clouds	wd:Q1601716
dbr:Eric_Tsang	wd:Q445608
dbr:Jack_Asher	wd:Q1668221
dbr:Twista	wd:Q448638
dbr:Emir_Zeba	wd:Q11878723
dbr:Sarah_Patton_Boyle	wd:Q21611574
dbr:Monte_Blue	wd:Q1945758
dbr:The_Pirate_u0027_s_Gold	wd:Q3204615
dbr:Galesh_Mahalleh_u002C__Behshahr	wd:Q5849451
dbr:I_Can_u0027_t_Stand_Myself__u0028_When_You_Touch_Me_u0029_	wd:Q5976483
dbr:Gung_Ho__u0028_film_u0029_	wd:Q669675
dbr:Ben_Johnson__u0028_actor_u0029_	wd:Q349166
dbr:Goodnight_u002C__Ladies_and_Gentlemen	wd:Q3960397
dbr:Cool_Down_the_Pace	wd:Q5167291
dbr:Homesick__u0028_MercyMe_song_u0029_	wd:Q5890452
dbr:The_Bride__u0028_1985_film_u0029_	wd:Q118985
dbr:Safe_House__u0028_2012_film_u0029_	wd:Q934739
dbr:Daniel_Viksten	wd:Q6225152
dbr:Really_Love_You	wd:Q385025
dbr:Ochiltree_County_u002C__Texas	wd:Q485920
dbr:Sidney_Hickox	wd:Q2281636
dbr:Arrambam	wd:Q15120660
dbr:Stefan_Chaput	wd:Q3497846
dbr:United_Kingdom	wd:Q145
dbr:Be_My_Last	wd:Q3637139
dbr:Guy_Trosper	wd:Q3122178
dbr:Fiji	wd:Q712
dbr:Good_u002D_Time_Girl	wd:Q5582384
dbr:Perth	wd:Q3183
dbr:Blueberry__u0028_film_u0029_	wd:Q1091350
dbr:Chattaniki_Kallu_Levu	wd:Q5087860
dbr:Matthew_Rhys	wd:Q342784
dbr:Bro_u002C__Sweden	wd:Q2430301
dbr:The_Illustrated_Man__u0028_film_u0029_	wd:Q3281505
dbr:Indian_Ocean	wd:Q1239
dbr:Parlophone	wd:Q208909
dbr:Face_of_a_Fighter	wd:Q5428379
dbr:Gael_Garc_u00ED_a_Bernal	wd:Q179576
dbr:Natalia_Kills	wd:Q236531
dbr:Yevgeni_Fyodorov	wd:Q445356
dbr:QuickSpot	wd:Q5388987
dbr:Wenquan_u002C__Jimo	wd:Q7982940
dbr:Wilfrid_Hyde_u002D_White	wd:Q1334296
dbr:Rather_Be__u0028_The_Verve_song_u0029_	wd:Q1615708
dbr:Ultimo_tango_a_Zagarol	wd:Q4003247
dbr:Bagyidaw	wd:Q38422
dbr:Seamus_McGarvey	wd:Q1359957
dbr:Nur_County	wd:Q1286144
dbr:Saathi	wd:Q13565089
dbr:The_Wash__u0028_song_u0029_	wd:Q7375879
dbr:Crux_Ansata	wd:Q5190294
dbr:Madhu__u0028_actor_u0029_	wd:Q277417
dbr:So_Sophisticated	wd:Q7549519
dbr:Leo_McCarey	wd:Q332530
dbr:The_Burial_at_Thebes	wd:Q7720642
dbr:Around_the_World_Under_the_Sea	wd:Q2497079
dbr:Graeme_Revell	wd:Q920963
dbr:Camembert_Electrique	wd:Q2327601
dbr:Phoenix_Rising__u0028_Babylon_5_u0029_	wd:Q7186974
dbr:Young_Sinners	wd:Q8058424
dbr:Paul_Anka	wd:Q216563
dbr:Me_Siento_Solo	wd:Q6803000
dbr:The_Sonny_Side_of_Ch_u00E9_r	wd:Q2532929
dbr:Ciara_Conway__u0028_footballer_u0029_	wd:Q5119113
dbr:Graduation_Day__u0028_Buffy_the_Vampire_Slayer_u0029_	wd:Q3032409
dbr:Star_Trek_u003A__Deep_Space_Nine	wd:Q108774
dbr:Tora_u002D_san_Makes_Excuses	wd:Q7825327
dbr:Man_Without_a_Star	wd:Q1523236
dbr:Chance_of_Lovin_u0027__You	wd:Q5070745
dbr:Nobusuke_Kishi	wd:Q315572
dbr:Thirty_u002D_Three__u0028_song_u0029_	wd:Q3045412
dbr:Bob_Seger	wd:Q364131
dbr:Purpose_in_the_Machine	wd:Q21191256
dbr:Vernon_God_Little	wd:Q475459
dbr:Smokin_u0027__Aces	wd:Q605453
dbr:Vernon_Treatt	wd:Q7922268
dbr:Turhan_Bey	wd:Q78763
dbr:Hans_u002D_Otto_Borgmann	wd:Q95492
dbr:Tajikistan	wd:Q863
dbr:The_Stalking_Moon	wd:Q2758093
dbr:Winner__u0028_film_u0029_	wd:Q8025587
dbr:One_Love__u0028_Carlene_Carter_song_u0029_	wd:Q7092834
dbr:Jeetendra	wd:Q1686232
dbr:The_Beach__u0028_film_u0029_	wd:Q470692
dbr:Giuliana_Camerino	wd:Q3938548
dbr:Daughters_Courageous	wd:Q5227934
dbr:John_Andrew_Sullivan	wd:Q583321
dbr:Team_Shanghai_Alice	wd:Q1377647
dbr:I_Am_Sam	wd:Q640387
dbr:Just_Me__u0028_Keith_Sweat_album_u0029_	wd:Q6316201
dbr:Macha_M_u00E9_ril	wd:Q275066
dbr:Into_the_Sun__u0028_2005_film_u0029_	wd:Q1671523
dbr:Timofei_Shishkanov	wd:Q1400451
dbr:The_King_of_Fighters__u0027_99	wd:Q1071919
dbr:Macy_Gray	wd:Q232456
dbr:Just_Another_Day_in_Parodies	wd:Q6315769
dbr:T_u002E__P_u002E__Balagopalan_M_u002E_A_u002E_	wd:Q7668573
dbr:Red_2__u0028_film_u0029_	wd:Q903930
dbr:Bu_Gece	wd:Q4982060
dbr:Cairo	wd:Q85
dbr:Uttar_Dakshin	wd:Q7903322
dbr:Live__u0028_band_u0029_	wd:Q165714
dbr:Azaran_u002C__Mazandaran	wd:Q5718199
dbr:Swing_Brother_Swing	wd:Q7658550
dbr:Mommie_Dearest__u0028_film_u0029_	wd:Q282827
dbr:Band_of_the_Hand	wd:Q3790026
dbr:Roland_Beamont	wd:Q7360160
dbr:Going_to_America	wd:Q5577889
dbr:Subterraneans	wd:Q7632215
dbr:Sally_Menke	wd:Q273379
dbr:The_Magic_Flame	wd:Q1694130
dbr:Johnny_Depp	wd:Q37175
dbr:Bolivia	wd:Q750
dbr:Fordham_University	wd:Q130965
dbr:Ashraf_Rashid	wd:Q2866577
dbr:Doraemon_u003A__Nobita_u0027_s_Dinosaur	wd:Q703301
dbr:Igor_Yemeleyev	wd:Q1657803
dbr:Endicott_u002C__New_York	wd:Q3459600
dbr:Carlos_Mencia	wd:Q1043065
dbr:Melissa_Leo	wd:Q229410
dbr:Ayo_Technology	wd:Q783148
dbr:Guatemala_City	wd:Q1555
dbr:Truck_Yeah	wd:Q7847178
dbr:Mister_Quilp	wd:Q6880217
dbr:Twilight_u0027_s_Last_Gleaming	wd:Q318016
dbr:Oscar_Hammerstein_II	wd:Q319693
dbr:It_u0027_s_Magic_u002C__Charlie_Brown	wd:Q9010031
dbr:Mike_u0027_s_New_Car	wd:Q1072759
dbr:Admiral_Fitzroy_Inn	wd:Q4683677
dbr:Nemesis__u0028_Stratovarius_album_u0029_	wd:Q1029464
dbr:Magical_Mystery_Tour__u0028_film_u0029_	wd:Q901203
dbr:Kevin_Garrett	wd:Q6396352
dbr:Clifton_College	wd:Q5133190
dbr:Paul_Hill__u0028_flight_director_u0029_	wd:Q7151283
dbr:John_Edgar_Browning	wd:Q16200498
dbr:Villa_Rides	wd:Q1775628
dbr:The_Dude__u0028_Devin_the_Dude_album_u0029_	wd:Q7731141
dbr:Petarded	wd:Q4046708
dbr:What_is_Philosophy_u0025_3F__u0028_Deleuze_and_Guattari_u0029_	wd:Q7991586
dbr:Conscious_Party__u0028_Asian_Dub_Foundation_album_u0029_	wd:Q4036497
dbr:Led_Zeppelin	wd:Q2331
dbr:Starship_Invasions	wd:Q1522064
dbr:The_Wild_Cat__u0028_1921_film_u0029_	wd:Q152447
dbr:Lorraine_Bracco	wd:Q229319
dbr:Percy_Chapman_Black	wd:Q7167274
dbr:Baby_Phat__u0028_song_u0029_	wd:Q4838381
dbr:Dzon_Delarge	wd:Q3042238
dbr:Shyam__u0028_composer_u0029_	wd:Q7505912
dbr:Willow__u0028_film_u0029_	wd:Q515931
dbr:Frank_Cook	wd:Q5485932
dbr:Jonathan_Pryce	wd:Q312702
dbr:Charlie_Chaplin	wd:Q882
dbr:University_of_Copenhagen	wd:Q186285
dbr:The_Great_Rupert	wd:Q7737921
dbr:Arrivano_i_bersaglieri	wd:Q3623830
dbr:Jimmy_Crack_Corn__u0028_Eminem_song_u0029_	wd:Q2554178
dbr:North_Sea_Hijack	wd:Q338495
dbr:Kerman_County	wd:Q1286434
dbr:Bleed_Together	wd:Q2906378
dbr:Wyclef_Jean	wd:Q202663
dbr:Dmitri_Bykov__u0028_ice_hockey_u0029_	wd:Q913261
dbr:Viktor_Drugov	wd:Q2570015
dbr:The_Third_Degree	wd:Q7768787
dbr:William_Franklin__u0028_American_football_u0029_	wd:Q947034
dbr:Autumn_Leaves__u0028_film_u0029_	wd:Q1609570
dbr:On_My_Way_to_the_Crusades_u002C__I_Met_a_Girl_Who_u002E__u002E__u002E_	wd:Q3821761
dbr:The_Fall_of_the_Roman_Empire__u0028_film_u0029_	wd:Q367748
dbr:Robin_and_Marian	wd:Q930071
dbr:King_Vidor	wd:Q51133
dbr:Are_You_Man_Enough__u0028_Four_Tops_song_u0029_	wd:Q4788427
dbr:Biwi_No_u002E_1	wd:Q879204
dbr:Johann_Sebastian_Bach	wd:Q1339
dbr:Arthur_3_u003A__The_War_of_the_Two_Worlds	wd:Q712194
dbr:Drake_University	wd:Q5305629
dbr:The_Tell_u002D_Tale_Heart__u0028_1941_film_u0029_	wd:Q3222091
dbr:I_u0027_m_Looking_Through_You	wd:Q2445861
dbr:Andrei_Nikolishin	wd:Q502116
dbr:The_Midnight_Patrol	wd:Q1607784
dbr:WarGames	wd:Q504697
dbr:The_Terminal	wd:Q318766
dbr:Everytime_We_Touch__u0028_David_Guetta_song_u0029_	wd:Q2627225
dbr:A_Day_Late_u002C__a_Dollar_Short	wd:Q4656284
dbr:DFA_Records	wd:Q1153070
dbr:Kovelamudi_Surya_Prakash_Rao	wd:Q15696137
dbr:Rail_transport	wd:Q3565868
dbr:Batman__u0026__Mr_u002E__Freeze_u003A__SubZero	wd:Q498757
dbr:The_Nickel_u002D_Hopper	wd:Q7754036
dbr:True_Grit__u0028_2010_film_u0029_	wd:Q326114
dbr:Java__u0028_programming_language_u0029_	wd:Q251
dbr:Psychology	wd:Q9418
dbr:Tim_Bevan	wd:Q1473065
dbr:Southern_rock	wd:Q852767
dbr:Joanna_Cassidy	wd:Q236702
dbr:Brokeback_Mountain	wd:Q160618
dbr:Lane_Nishikawa	wd:Q6485431
dbr:Brandon_Trost	wd:Q15732459
dbr:Madea_u0027_s_Family_Reunion	wd:Q6726802
dbr:Life_in_1472	wd:Q6545139
dbr:Hare_Tonic	wd:Q12124700
dbr:Carlo_Di_Palma	wd:Q1006997
dbr:Andrew_Lesnie	wd:Q505940
dbr:Stereo_World	wd:Q1880962
dbr:Jew_S_u00FC_ss__u0028_1934_film_u0029_	wd:Q2156798
dbr:Heart_Attack__u0028_film_u0029_	wd:Q15694687
dbr:Time_to_Kill__u0028_1942_film_u0029_	wd:Q12129428
dbr:The_Karate_Killers	wd:Q1213740
dbr:Until_the_Whole_World_Hears__u0028_song_u0029_	wd:Q7897689
dbr:Harvey_Weinstein	wd:Q531599
dbr:Only_the_Brave	wd:Q3485771
dbr:Besieged__u0028_film_u0029_	wd:Q2276844
dbr:The_Devil_to_Pay__u0028_Ellery_Queen_novel_u0029_	wd:Q3786343
dbr:Dendrobium	wd:Q133778
dbr:Reno_Olsen	wd:Q860397
dbr:The_Ice_Follies_of_1939	wd:Q2063119
dbr:Free_Willy_2_u003A__The_Adventure_Home	wd:Q584057
dbr:Red_Hot_Tires	wd:Q7304364
dbr:Metal_Slug__u0028_2006_video_game_u0029_	wd:Q1627493
dbr:Rebelde__u0028_album_u0029_	wd:Q3283360
dbr:Lowell_Lo	wd:Q701911
dbr:Wes_Jackson	wd:Q248469
dbr:Hello_Operator__u0028_song_u0029_	wd:Q2450292
dbr:Mario_Bava	wd:Q55438
dbr:Dell_Henderson	wd:Q3021715
dbr:USS_Knapp__u0028_DD_u002D_653_u0029_	wd:Q7870838
dbr:Margin_for_Error	wd:Q1157114
dbr:Allison_Anders	wd:Q2838329
dbr:My_Beautiful_Dark_Twisted_Fantasy	wd:Q547624
dbr:Don_u0027_t_Tell_Mom_the_Babysitter_u0027_s_Dead	wd:Q1397667
dbr:Chris_Thile	wd:Q596779
dbr:Caldwell_Stewart	wd:Q5019169
dbr:Heart_failure	wd:Q181754
dbr:Beyonc_u00E9_	wd:Q36153
dbr:Pac_u0027_s_Life__u0028_song_u0029_	wd:Q2349516
dbr:Haute_u002D_Sa_u00F4_ne	wd:Q12730
dbr:Exeter	wd:Q134672
dbr:King_Kong__u0028_1976_film_u0029_	wd:Q1142862
dbr:Vanna_Thamizh_Pattu	wd:Q12988732
dbr:_u00C9_ric_Fichaud	wd:Q3591129
dbr:The_Big_Cage	wd:Q7717559
dbr:Sing_for_Absolution	wd:Q1998840
dbr:Marilyn_Monroe	wd:Q4616
dbr:Lena_Meyer_u002D_Landrut	wd:Q7013
dbr:Saturdays__u003D__Youth	wd:Q7426762
dbr:Duran_Duran	wd:Q58381
dbr:Strategy_game	wd:Q1150710
dbr:Unleashed__u0028_film_u0029_	wd:Q470507
dbr:Lilo__u0026__Stitch_u003A__The_Series	wd:Q590166
dbr:Mickey_Rooney	wd:Q104081
dbr:Indian_Summer__u0028_Brooks__u0026__Dunn_song_u0029_	wd:Q6021686
dbr:Alex_Christie__u0028_footballer_u002C__born_1873_u0029_	wd:Q16066791
dbr:Point_guard	wd:Q212413
dbr:John_D_u002E__Rockefeller_u002C__Jr_u002E_	wd:Q363984
dbr:Nikola_Joki_u0107_	wd:Q17281073
dbr:Harvard_Business_School	wd:Q49126
dbr:Revival__u0028_Reverend_Horton_Heat_album_u0029_	wd:Q7318518
dbr:Peter_Rowe__u0028_rugby_u0029_	wd:Q7176685
dbr:Knights_of_the_Desert__u0028_film_u0029_	wd:Q3790607
dbr:Faj_u00E3__do_Boi	wd:Q5431429
dbr:Jane_Luu	wd:Q197941
dbr:Toward_the_Unknown	wd:Q766600
dbr:The_Bishop_u0027_s_Gambit	wd:Q7718164
dbr:Hadashi_no_Mirai_u002F_Kotoba_Yori_Taisetsu_na_Mono	wd:Q2759991
dbr:Do_Musafir	wd:Q5286140
dbr:Moonnamathoral	wd:Q6907909
dbr:Lust_for_Gold	wd:Q12125914
dbr:Margaret_I_u002C__Countess_of_Burgundy	wd:Q261999
dbr:Apthamitra	wd:Q4782241
dbr:Second_Life	wd:Q106827
dbr:Music_Box__u0028_Eminem_song_u0029_	wd:Q1611317
dbr:Midnight_Machine_Gun_Rhymes_and_Alibis	wd:Q6842706
dbr:Fiction_Records	wd:Q2481499
dbr:The_Go_u002D_Go_u0027_s	wd:Q1533339
dbr:Blow_Dry	wd:Q331180
dbr:That_Just_About_Does_It	wd:Q7711214
dbr:The_Serpent_and_the_Rainbow__u0028_film_u0029_	wd:Q1216030
dbr:Jagodina	wd:Q390358
dbr:She_Said_Yes	wd:Q7492051
dbr:Heartbeat__u0028_Tainai_Kaiki_II_u0029_	wd:Q16993828
dbr:Jim_Jarmusch	wd:Q191755
dbr:Commander_in_Chief__u0028_TV_series_u0029_	wd:Q697031
dbr:Gian_Vittorio_Baldi	wd:Q461664
dbr:Jamie_Milam	wd:Q5986928
dbr:Georges_Auric	wd:Q251818
dbr:Roland_Totheroh	wd:Q179581
dbr:Ninja_Master_u0027_s_u003A__Ha_u014D__Ninp_u014D__Ch_u014D_	wd:Q3342016
dbr:Industrial_metal	wd:Q208494
dbr:Dmitri_Obukhov	wd:Q944864
dbr:Sonia_Johnson	wd:Q7561716
dbr:Kyle_Wellwood	wd:Q249696
dbr:EPMD	wd:Q291286
dbr:The_Geisha_Boy	wd:Q1647597
dbr:Shobana	wd:Q3519611
dbr:The_Man_from_Laramie	wd:Q1195497
dbr:Seishun_on_the_Road	wd:Q7446949
dbr:Marni_Hodgkin	wd:Q19856937
dbr:Space_flight_simulator_game	wd:Q1892535
dbr:Tolomush_Okeyev	wd:Q2015361
dbr:Fernandel	wd:Q129092
dbr:Houghton_Mifflin_Harcourt	wd:Q390074
dbr:Maine_u002D_et_u002D_Loire	wd:Q12584
dbr:Ernest_Haller	wd:Q431611
dbr:Fred_Gwynne	wd:Q222833
dbr:Catherine_Deneuve	wd:Q106418
dbr:Hermosillo	wd:Q189138
dbr:Sunshine__u0028_1999_film_u0029_	wd:Q173804
dbr:Boyy_Friennd	wd:Q4952759
dbr:Jacques_Lacan	wd:Q169906
dbr:Yuri_Alexandrov__u0028_ice_hockey_u0029_	wd:Q677577
dbr:Mindshadow	wd:Q6863964
dbr:Waterloo__u0028_1970_film_u0029_	wd:Q1604818
dbr:William_Morrow_and_Company	wd:Q8015856
dbr:Leningrad_Oblast	wd:Q2191
dbr:Lycksele_Municipality	wd:Q948462
dbr:Theda_Bara	wd:Q234615
dbr:Arcachon	wd:Q191460
dbr:Secret_Agent_of_Terra	wd:Q7443959
dbr:Strangers_with_Candy__u0028_film_u0029_	wd:Q4039001
dbr:Lee_Marvin	wd:Q76895
dbr:Devices_and_Desires	wd:Q5267032
dbr:Ciar_u00E1_n_Hinds	wd:Q314892
dbr:Tim_Wise	wd:Q7804508
dbr:Arizona_Bushwhackers	wd:Q1217399
dbr:_u002E__u002E__u002E__Rage_Before_Beauty	wd:Q3417465
dbr:Nanjing	wd:Q16666
dbr:Miracles_u003A__The_Holiday_Album	wd:Q962073
dbr:Easy_Breezy	wd:Q3717807
dbr:Colombo	wd:Q35381
dbr:Haseena_Maan_Jaayegi	wd:Q3128070
dbr:The_Well__u0028_1951_film_u0029_	wd:Q3821358
dbr:Des_Smith__u0028_ice_hockey_u0029_	wd:Q936303
dbr:G_u00F6_ttingen	wd:Q3033
dbr:Pezizomycotina	wd:Q387893
dbr:Michael_Moriarty	wd:Q531869
dbr:Sum_41	wd:Q483558
dbr:Patrick_Entat	wd:Q7146448
dbr:The_Road_to_El_Dorado	wd:Q866358
dbr:Green_Lantern_u003A__Rise_of_the_Manhunters	wd:Q4039700
dbr:Get_It_Together__u0028_James_Brown_song_u0029_	wd:Q5553958
dbr:Big_Fish	wd:Q278997
dbr:Piracy	wd:Q45393
dbr:Heinz_Wozniakowski	wd:Q1601195
dbr:How_High_Is_Up_u0025_3F	wd:Q5917759
dbr:Max_u002D_Martin_Teichert	wd:Q4450063
dbr:Reginald_Manningham_u002D_Buller_u002C__1st_Viscount_Dilhorne	wd:Q2271478
dbr:Alexander_Oparin	wd:Q44483
dbr:Gachsaran_County	wd:Q1278063
dbr:Alfred_Nijhuis	wd:Q1365861
dbr:Chasing_Yesterday__u0028_film_u0029_	wd:Q18386989
