dbr:Ron_Howard	wd:Q103646
dbr:Vestiges_of_the_Natural_History_of_Creation	wd:Q1814215
dbr:Square__u0028_company_u0029_	wd:Q739552
dbr:The_Fallen_Idol__u0028_film_u0029_	wd:Q2349200
dbr:The_Geometry_of_Shadows	wd:Q7736162
dbr:Ted_Koppel	wd:Q2096683
dbr:Saving_My_Face	wd:Q535703
dbr:Northamptonshire	wd:Q23115
dbr:Episode_1__u0028_Twin_Peaks_u0029_	wd:Q5383524
dbr:Geffen_Records	wd:Q212699
dbr:Gish_u016B__Nakayama	wd:Q1963988
dbr:Mindscape	wd:Q1570468
dbr:TriStar_Pictures	wd:Q651454
dbr:HC_Fribourg_u002D_Gott_u00E9_ron	wd:Q33699
dbr:Everybody_Makes_Mistakes__u0028_Shearwater_album_u0029_	wd:Q3735527
dbr:HMCS_Inch_Arran__u0028_K667_u0029_	wd:Q5630818
dbr:Thaai	wd:Q12983871
dbr:No_One_Believes_Me	wd:Q7044669
dbr:The_Cowboys_u0027__Christmas_Ball	wd:Q2055543
dbr:Ivan_Goff	wd:Q3156109
dbr:Tarbagatay_District	wd:Q613774
dbr:Angel__u0028_1999_TV_series_u0029_	wd:Q212156
dbr:Dogs_of_War__u0028_film_u0029_	wd:Q5288458
dbr:La_stanza_del_vescovo__u0028_film_u0029_	wd:Q928739
dbr:The_Elusive_Pimpernel	wd:Q3837841
dbr:Oh_u0021__What_a_Lovely_War	wd:Q2545565
dbr:The_Star_of_Valencia	wd:Q7766299
dbr:Alag_Alag	wd:Q4705559
dbr:SNK_Playmore	wd:Q1044563
dbr:St_Nicholas_u0027__Church_u002C__Wallasey	wd:Q18640371
dbr:Yamla_Pagla_Deewana	wd:Q8048073
dbr:Kloten_Flyers	wd:Q36930
dbr:John_Mengelt	wd:Q3809485
dbr:Inherit_the_Wind__u0028_1960_film_u0029_	wd:Q1500395
dbr:Nixon__u0028_film_u0029_	wd:Q839042
dbr:A_Blind_Bargain	wd:Q4655512
dbr:Dominant_Species__u0028_video_game_u0029_	wd:Q5290296
dbr:Resurrection__u0028_1927_film_u0029_	wd:Q3933549
dbr:Spanish_Communist_Party	wd:Q3092377
dbr:Anatoly_Golyshev	wd:Q18238151
dbr:Welcome_to_the_World__u0028_song_u0029_	wd:Q4018843
dbr:Another_Thin_Man	wd:Q1271867
dbr:Sam_Smith__u0028_singer_u0029_	wd:Q15123969
dbr:Loose_Cannons__u0028_1990_film_u0029_	wd:Q1194122
dbr:Cookie_u0027_s_Fortune	wd:Q662838
dbr:IBM_TopView	wd:Q4891880
dbr:Gandha__u0028_film_u0029_	wd:Q5520649
dbr:Whitney_Houston	wd:Q34389
dbr:Legion_of_Merit	wd:Q724443
dbr:Video_Phone__u0028_song_u0029_	wd:Q832285
dbr:Gary_Alcorn	wd:Q1622889
dbr:The_Slave__u0028_1962_film_u0029_	wd:Q3012855
dbr:Nothing_u0027_s_Changed__u0028_album_u0029_	wd:Q3878719
dbr:Hands_All_Over__u0028_Soundgarden_song_u0029_	wd:Q627582
dbr:Bent_Fabric	wd:Q712364
dbr:Puy_u002D_de_u002D_D_u00F4_me	wd:Q12694
dbr:Joe_Roberts__u0028_footballer_u0029_	wd:Q19577672
dbr:I_Found_Stella_Parish	wd:Q693847
dbr:Tam_u002D_Lin__u0028_film_u0029_	wd:Q3514609
dbr:Belenggu	wd:Q4184583
dbr:The_Confession__u0028_1970_film_u0029_	wd:Q1754723
dbr:1408__u0028_film_u0029_	wd:Q203560
dbr:Hindustan_Ki_Kasam__u0028_1999_film_u0029_	wd:Q5766820
dbr:Otis__u0028_song_u0029_	wd:Q2705680
dbr:Argo__u0028_2012_film_u0029_	wd:Q59653
dbr:Woking	wd:Q646225
dbr:Carneirinho	wd:Q734337
dbr:Nick_Jameson	wd:Q2870023
dbr:Ferdinand_Hodler	wd:Q214564
dbr:The_Girl_in_Question	wd:Q3208921
dbr:Outcast_Lady	wd:Q17042684
dbr:Pirates_of_the_High_Seas	wd:Q7197895
dbr:Aki_Kaurism_u00E4_ki	wd:Q276186
dbr:Bill_Conti	wd:Q367084
dbr:40_Days_and_40_Nights	wd:Q232219
dbr:How_Could_an_Angel_Break_My_Heart	wd:Q221918
dbr:Jack_Nicklaus_u0027__Greatest_18_Holes_of_Major_Championship_Golf	wd:Q6114335
dbr:Transylvanian_Regurgitations	wd:Q7835497
dbr:Chhalia	wd:Q3419772
dbr:Roadside_Heretics	wd:Q7339674
dbr:Super_Bomberman_5	wd:Q3279162
dbr:Strangled_Lives	wd:Q3545662
dbr:1942_u003A__A_Love_Story	wd:Q207494
dbr:P_u002E__S_u002E__Veerappa	wd:Q7117525
dbr:Sans_Souci__u0028_album_u0029_	wd:Q7418940
dbr:Ruthless__u0028_film_u0029_	wd:Q2479172
dbr:Munchie	wd:Q3794698
dbr:Trinkets_I_Own_Made_from_Gorilla_Hands	wd:Q7843033
dbr:Shaykh_Hilal	wd:Q12189265
dbr:Frankenchrist	wd:Q279843
dbr:Shahid__u0028_film_u0029_	wd:Q7461626
dbr:Closing_the_Ring	wd:Q1102541
dbr:The_Who	wd:Q93346
dbr:Nils_Asther	wd:Q722861
dbr:Tashkent	wd:Q269
dbr:Greasy_Jungle	wd:Q5598591
dbr:Rebecca_of_Sunnybrook_Farm__u0028_1938_film_u0029_	wd:Q2205352
dbr:Money_Mad__u0028_1908_film_u0029_	wd:Q1757248
dbr:Two_Is_Better_Than_One	wd:Q921515
dbr:The_Last_Man__u0028_1955_film_u0029_	wd:Q3319962
dbr:Youngblood__u0028_1986_film_u0029_	wd:Q661833
dbr:Ghetto_Gospel	wd:Q2282007
dbr:From_This_Moment_On__u0028_Shania_Twain_song_u0029_	wd:Q2705776
dbr:Interview_with_the_Vampire__u0028_film_u0029_	wd:Q318910
dbr:Canaris__u0028_film_u0029_	wd:Q1032779
dbr:The_Sleuth__u0028_film_u0029_	wd:Q3392700
dbr:The_Great_Adventures_of_Wild_Bill_Hickok	wd:Q7737623
dbr:Gaerwen_railway_station	wd:Q5516662
dbr:Declan_Quinn	wd:Q739937
dbr:She_Couldn_u0027_t_Take_It	wd:Q3793843
dbr:Fukushima_Prefecture	wd:Q71707
dbr:Waiting_u002E__u002E__u002E___u0028_film_u0029_	wd:Q303862
dbr:Gambit__u0028_novel_u0029_	wd:Q3951339
dbr:Duets__u0028_film_u0029_	wd:Q495314
dbr:Olivier_Dassault	wd:Q3350961
dbr:Loopy_De_Loop	wd:Q2755097
dbr:Friday__u0028_Daniel_Bedingfield_song_u0029_	wd:Q5503473
dbr:It_Came_from_Hollywood	wd:Q6091608
dbr:Luc_Chatel	wd:Q642640
dbr:Squawk_Australia	wd:Q3473079
dbr:The_Hit__u0028_1984_film_u0029_	wd:Q1760278
dbr:Persian_language	wd:Q9168
dbr:Twelve_Thirty__u0028_Young_Girls_Are_Coming_to_the_Canyon_u0029_	wd:Q7857655
dbr:Jim_Craig__u0028_ice_hockey_u0029_	wd:Q478435
dbr:There_Goes_the_Bride__u0028_1932_film_u0029_	wd:Q7782716
dbr:Greatest_Hits__u0028_Smokie_album_u0029_	wd:Q5601260
dbr:John_Alton	wd:Q1699139
dbr:Phil_Griggs	wd:Q7181940
dbr:Aura__u0028_Asia_album_u0029_	wd:Q596440
dbr:Betraying_the_Martyrs	wd:Q831668
dbr:Steve_Taylor__u0028_Canadian_football_u0029_	wd:Q7614101
dbr:T_u002E__Rajendar	wd:Q7668630
dbr:Mass__u0028_film_u0029_	wd:Q3536789
dbr:Mucho__u002B_	wd:Q6931088
dbr:Honest_Raj	wd:Q3645007
dbr:Up_the_Down_Steroid	wd:Q765159
dbr:Carter_Hutton	wd:Q5047179
dbr:The_Die_Is_Cast__u0028_Star_Trek_u003A__Deep_Space_Nine_u0029_	wd:Q7730148
dbr:Mighty_Like_a_Rose	wd:Q3312860
dbr:Paul_Winfield	wd:Q344576
dbr:Winter_Kills__u0028_film_u0029_	wd:Q685716
dbr:Randhir_Kapoor	wd:Q2700318
dbr:Theo_van_de_Sande	wd:Q1718760
dbr:New_Moon__u0028_Abderrahmane_Abdelli_album_u0029_	wd:Q7010464
dbr:A_Hard_Day_u0027_s_Night__u0028_film_u0029_	wd:Q913311
dbr:El_Salvador	wd:Q792
dbr:Too_Much_Harmony	wd:Q3281796
dbr:Scars__u0028_Allison_Iraheta_song_u0029_	wd:Q3951703
dbr:In_Their_Skin	wd:Q10534834
dbr:Famous_Love_Affairs	wd:Q934263
dbr:Warner_Home_Video	wd:Q1188361
dbr:Ed_Wood__u0028_film_u0029_	wd:Q639481
dbr:Limassol	wd:Q185632
dbr:Riku_Hahl	wd:Q770111
dbr:Glory_Days__u0028_album_u0029_	wd:Q5571579
dbr:Night_and_the_City	wd:Q425904
dbr:Idhaya_Thirudan	wd:Q5988577
dbr:Sigur_R_u00F3_s	wd:Q483828
dbr:V_u00E1_clav_Prospal	wd:Q678896
dbr:Catherine_Yronwode	wd:Q5052988
dbr:Hell_in_a_Handbasket	wd:Q12019459
dbr:Sammo_Hung	wd:Q311219
dbr:Where_Your_Road_Leads__u0028_song_u0029_	wd:Q7993380
dbr:The_Stolen_Bride__u0028_1913_film_u0029_	wd:Q3989478
dbr:Sudden_Strike__u0028_video_game_u0029_	wd:Q13439813
dbr:Sweetheart__u0028_Rainy_Davis_song_u0029_	wd:Q835363
dbr:Nettwerk	wd:Q1029135
dbr:Mysterious_Ways__u0028_TV_series_u0029_	wd:Q722086
dbr:Bucky_Larson_u003A__Born_to_Be_a_Star	wd:Q2665674
dbr:John_Laudun	wd:Q16204312
dbr:Ira_H_u002E__Morgan	wd:Q3154247
dbr:Pipe_Dream__u0028_musical_u0029_	wd:Q7197217
dbr:Naran__u0028_film_u0029_	wd:Q13112816
dbr:Hoot__u0028_EP_u0029_	wd:Q482856
dbr:Thriller__u2013__A_Cruel_Picture	wd:Q1740744
dbr:Gimme_That	wd:Q1524777
dbr:Columnist	wd:Q1086863
dbr:Toby_Keith	wd:Q559819
dbr:Palmyra_u002C__Utah	wd:Q1895185
dbr:Frank_Welker	wd:Q296577
dbr:Dubai	wd:Q612
dbr:Guy_Consolmagno	wd:Q5622172
dbr:Don_u0027_t_Worry_u002C__I_u0027_m_Fine	wd:Q1512168
dbr:The_Curse_of_the_Gloamglozer	wd:Q1427198
dbr:Juvenile__u0028_rapper_u0029_	wd:Q724501
dbr:Mark_Madsen	wd:Q2573187
dbr:Think__u0028_The__u0025_225_u0025_22_Royales_song_u0029_	wd:Q7784469
dbr:Prison_Break_u003A__The_Conspiracy	wd:Q2618531
dbr:I_u0027_m_Goin_u0027__In	wd:Q5966269
dbr:Four_Months_Ago_u002E__u002E__u002E_	wd:Q5864506
dbr:Tony_M_u00E5_rtensson	wd:Q722097
dbr:And_the_Music_Speaks	wd:Q4753434
dbr:Rudy_Tomjanovich	wd:Q557526
dbr:Excess_Baggage__u0028_1997_film_u0029_	wd:Q2665942
dbr:My_Darling_u002C__My_Dearest	wd:Q3637817
dbr:Les_Parents_terribles__u0028_film_u0029_	wd:Q3234453
dbr:Keep_It_Dark	wd:Q3646360
dbr:Band_of_Brothers__u0028_miniseries_u0029_	wd:Q208048
dbr:Gilbert_Taylor	wd:Q182148
dbr:Zakhmo_Ka_Hisaab	wd:Q8065079
dbr:French_Revolutionary_Wars	wd:Q207318
dbr:Sm_u00E5_land	wd:Q199957
dbr:Lovekiller__u0028_album_u0029_	wd:Q3264285
dbr:Ren_u0027_Py	wd:Q1196014
dbr:Bye_Bye_Birdie__u0028_film_u0029_	wd:Q1018487
dbr:Rush_Hour__u0028_film_series_u0029_	wd:Q7380709
dbr:It_u0027_s_Lonely_Out_There	wd:Q6090257
dbr:La_Cage_aux_Folles_3_u003A__The_Wedding	wd:Q1304755
dbr:Joe_Costello__u0028_politician_u0029_	wd:Q3777446
dbr:Arlene_Foster	wd:Q4792148
dbr:Flesh_Will_Surrender	wd:Q3221967
dbr:A_Reason_to_Live_u002C__a_Reason_to_Die	wd:Q638356
dbr:Dedicated__u0028_ATB_album_u0029_	wd:Q903308
dbr:Bernard_Mond	wd:Q4893449
dbr:Fanny_by_Gaslight__u0028_film_u0029_	wd:Q3203700
dbr:Nina_Carter	wd:Q1838098
dbr:King_of_Fighters_R_u002D_1	wd:Q6412235
dbr:Conakry	wd:Q3733
dbr:The_Blue_Yonder	wd:Q885949
dbr:Happy_Land__u0028_film_u0029_	wd:Q3783279
dbr:Roja	wd:Q2739153
dbr:Woody_Strode	wd:Q609860
dbr:Robert_Sturges	wd:Q3544611
dbr:Demon_Knight	wd:Q1591769
dbr:Avtomobilist_Yekaterinburg	wd:Q639095
dbr:Arnhem	wd:Q1310
dbr:Rudolf_Jakob_Camerarius	wd:Q61297
dbr:Anima_latina	wd:Q3507867
dbr:Satyricon	wd:Q246732
dbr:Glyphipterix_uncta	wd:Q5573462
dbr:Hideo_Oguni	wd:Q3135269
dbr:AIK_IF	wd:Q59583
dbr:Nino_Baragli	wd:Q364528
dbr:Cannes_Man	wd:Q834352
dbr:I_u0027_ll_See_It_Through	wd:Q5965975
dbr:This_Darkened_Heart	wd:Q2734407
dbr:The_Boxer__u0028_The_Chemical_Brothers_song_u0029_	wd:Q1424829
dbr:Beth_Orton	wd:Q465296
dbr:A_Man_Lay_Dead	wd:Q4658069
dbr:Anupam_Kher	wd:Q560163
dbr:Untamed__u0028_1955_film_u0029_	wd:Q3279588
dbr:Jovo_Damjanovi_u0107_	wd:Q18918849
dbr:P_u002E__D_u002E__James	wd:Q270648
dbr:Journey_into_Fear__u0028_1943_film_u0029_	wd:Q2733208
dbr:The_Reverend_Horton_Heat	wd:Q1273740
dbr:Champaign_County_u002C__Illinois	wd:Q110187
dbr:Oliver_Reed	wd:Q313588
dbr:Cold__u0028_Kanye_West_song_u0029_	wd:Q2982382
dbr:Detlev_Bronk	wd:Q644005
dbr:Girls_u0021__Girls_u0021__Girls_u0021_	wd:Q1526796
dbr:Titanus	wd:Q1172062
dbr:George_Dolenz	wd:Q3101539
dbr:Seetalhorn	wd:Q682233
dbr:One__u0028_U2_song_u0029_	wd:Q1165194
dbr:Sardaar_Gabbar_Singh	wd:Q20814736
dbr:Eklavya_u003A__The_Royal_Guard	wd:Q542698
dbr:FreeBSD	wd:Q34236
dbr:Tom_Wilkinson	wd:Q211322
dbr:Ray_Heindorf	wd:Q713301
dbr:Bartholomeus_Molenaer	wd:Q4865219
dbr:Under_Heavy_Fire	wd:Q3089494
dbr:Historical_period_drama	wd:Q7168625
dbr:Troy_u002C__New_York	wd:Q600301
dbr:Wag_the_Dog	wd:Q623443
dbr:Patrick_Cullinan	wd:Q7146306
dbr:The_Lieutenant_Wore_Skirts	wd:Q3855990
dbr:Jayabheri	wd:Q11039516
dbr:Eppur_Si_Muove__u0028_album_u0029_	wd:Q1347688
dbr:Grown_Men_Don_u0027_t_Cry	wd:Q5611711
dbr:Eugene_Worley	wd:Q1373204
dbr:Jorrin_John	wd:Q18385765
dbr:A_Man_u0027_s_Way	wd:Q4658038
dbr:Michael_Jordan__u0028_footballer_u0029_	wd:Q6831716
dbr:Moonraker__u0028_film_u0029_	wd:Q334780
dbr:Ronnie_de_Mel	wd:Q7366034
dbr:They_Flew_Alone	wd:Q7783708
dbr:Let_u0027_s_Go_Collegiate	wd:Q6532407
dbr:R_u00F3_ka_Hasa_R_u00E1_di_u00F3_	wd:Q1253334
dbr:Move_That_Body__u0028_Nelly_song_u0029_	wd:Q1997390
dbr:Cliffhanger__u0028_film_u0029_	wd:Q824389
dbr:Linh_Dan_Pham	wd:Q292756
dbr:Michael_Pe_u00F1_a	wd:Q359488
dbr:Fianna_F_u00E1_il	wd:Q216517
dbr:Featherstone_Rovers	wd:Q3067834
dbr:Bhanupriya	wd:Q3520003
dbr:LoveStoned	wd:Q934265
dbr:Sveta_Trojica_v_Slovenskih_Goricah	wd:Q1016820
dbr:Kosovo	wd:Q1246
dbr:La_B_u00EA_te_Humaine__u0028_film_u0029_	wd:Q830558
dbr:Kaavalkaaran__u0028_1967_film_u0029_	wd:Q12980221
dbr:Money__u0028_David_Guetta_song_u0029_	wd:Q2641113
dbr:Love_Affair__u0028_1939_film_u0029_	wd:Q1620069
dbr:German_Empire	wd:Q43287
dbr:Ronnie_Valentine	wd:Q3941143
dbr:The_Gay_Divorcee	wd:Q947098
dbr:Roland_West	wd:Q967502
dbr:Little_Boy_Lost__u0028_The_Twilight_Zone_u0029_	wd:Q6649252
dbr:Joy_u002E_Discovery_u002E_Invention	wd:Q6296976
dbr:Don_u0027_t_Raise_the_Bridge_u002C__Lower_the_River	wd:Q5291861
dbr:Ansel_Galimov	wd:Q17385942
dbr:Hole__u0028_Foetus_album_u0029_	wd:Q3786281
dbr:The_Love_Racket	wd:Q7748949
dbr:Carlo_Montuori	wd:Q729046
dbr:Akshaye_Khanna	wd:Q421581
dbr:Herman_Witkam	wd:Q2333100
dbr:Dean_Martin__u0028_footballer_u002C__born_1957_u0029_	wd:Q5246331
dbr:Richard_Brodeur	wd:Q3430575
dbr:Alfred_Wainwright	wd:Q186795
dbr:Jamaica	wd:Q766
dbr:Dick_u0027_s_Picks_Volume_1	wd:Q1210210
dbr:Sheffield_Wednesday_F_u002E_C_u002E_	wd:Q19498
dbr:Jaccob_Slavin	wd:Q21045691
dbr:Jean_Bizet	wd:Q3170787
dbr:The_Legend_of_Valentino	wd:Q7746787
dbr:The_Blood_of_Others__u0028_film_u0029_	wd:Q544607
dbr:Thriller__u0028_genre_u0029_	wd:Q182015
dbr:Avi_Lewis	wd:Q4828471
dbr:Teylingen	wd:Q1368003
dbr:Agni_Yudham	wd:Q4693213
dbr:Christine_A_u002E__Varney	wd:Q5110899
dbr:Appointment_with_Death__u0028_film_u0029_	wd:Q490566
dbr:Marko_Jantunen	wd:Q740606
dbr:Dancing_with_Tears_in_My_Eyes	wd:Q1159377
dbr:Paz_Vega	wd:Q234618
dbr:John_Condit	wd:Q381565
dbr:Charles_Kennedy	wd:Q332950
dbr:Ren_u00E9__Dosi_u00E8_re	wd:Q3426115
dbr:Masam_Masam_Manis	wd:Q6782509
dbr:Frank_Craig_Pandolfe	wd:Q20406422
dbr:Bealby	wd:Q4876123
dbr:Sticky_Fingaz	wd:Q704742
dbr:Galaxy__u0028_Jessica_Mauboy_song_u0029_	wd:Q5518094
dbr:Nazrana__u0028_1961_film_u0029_	wd:Q3419729
dbr:Thunder__u0028_East_17_song_u0029_	wd:Q3990933
dbr:The_Christmas_Angel	wd:Q3201985
dbr:Yippiyo_u002D_Ay	wd:Q8053810
dbr:Dichomeris_argentaria	wd:Q13572529
dbr:Essam_Shqalo	wd:Q5399363
dbr:Factory_Records	wd:Q578943
dbr:I_u0027_m_Housin	wd:Q5966404
dbr:Aaron_Kwok	wd:Q16872
dbr:Now_I_Know_u002C__Don_u0027_t_Be_Scared	wd:Q949693
dbr:Bristol_Rugby	wd:Q917973
dbr:Letter_from_Egypt	wd:Q1754721
dbr:Robert_Gascoyne_u002D_Cecil_u002C__3rd_Marquess_of_Salisbury	wd:Q243705
dbr:Edvard_Moser	wd:Q5341373
dbr:Could_You_Recognise_the_Man_Again_u0025_3F	wd:Q5176115
dbr:Prom_Queen__u0028_Glee_u0029_	wd:Q2604434
dbr:The_General__u0028_1926_film_u0029_	wd:Q850159
dbr:Sidney_Lumet	wd:Q51559
dbr:Bone_Thugs_u002D_n_u002D_Harmony	wd:Q4444669
dbr:Carrie_Buck	wd:Q5046212
dbr:Child_u0027_s_Play_3	wd:Q1089283
dbr:Certainty__u0028_film_u0029_	wd:Q5065052
dbr:The_County_Chairman__u0028_1935_film_u0029_	wd:Q3986421
dbr:Green_Light__u0028_Beyonc_u00E9__song_u0029_	wd:Q1342671
dbr:Zvolen	wd:Q11874
dbr:Tezz	wd:Q3595075
dbr:Luis_Miguel	wd:Q1069140
dbr:The_Research_Magnificent	wd:Q7760264
dbr:We_u0027_re_All_No_One	wd:Q3566892
dbr:Garnet_Malley	wd:Q5523660
dbr:Fantasy	wd:Q132311
dbr:Richard_Bohringer	wd:Q722733
dbr:Boris_Vian	wd:Q7833
dbr:Live_from_Amsterdam__u0028_video_u0029_	wd:Q1032592
dbr:Buddleja	wd:Q158011
dbr:Utada_Hikaru_Single_Collection_Vol_u002E__2	wd:Q2699294
dbr:Tiago_Lu_u00ED_s	wd:Q3031471
dbr:Scott_Moore__u0028_rugby_league_u0029_	wd:Q3476274
dbr:Allyn_Ferguson	wd:Q464006
dbr:Kohana__u0028_framework_u0029_	wd:Q2449047
dbr:Cheap_Trick__u0028_1997_album_u0029_	wd:Q3666956
dbr:Two_Moon_Junction	wd:Q691732
dbr:Revathi	wd:Q277996
dbr:Werner_M_u00F6_lders	wd:Q58641
dbr:Dry_Bones_That_Dream	wd:Q5309477
dbr:Tanpopo	wd:Q1325138
dbr:Man__u0028_band_u0029_	wd:Q1758439
dbr:She_Thinks_I_Still_Care	wd:Q3481676
dbr:Nowhere_Man__u0028_song_u0029_	wd:Q1418568
dbr:Letting_Go__u0028_Dutty_Love_u0029_	wd:Q6533830
dbr:Albert_Henry_Krehbiel	wd:Q4710455
dbr:Cani_e_gatti	wd:Q3655346
dbr:Glyphipterix	wd:Q5573046
dbr:Hugo_Friedhofer	wd:Q1350676
dbr:Monday_u002C__Monday	wd:Q1639216
dbr:Flashback__u0028_Darin_album_u0029_	wd:Q4992287
dbr:The_Breach__u0028_film_u0029_	wd:Q1196532
dbr:Royal_Air_Force	wd:Q165862
dbr:Robur_the_Conqueror	wd:Q978723
dbr:Thembi	wd:Q7781204
dbr:Jovica_Tasevski_u002D_Eternijan	wd:Q1390223
dbr:Mudhoney__u0028_film_u0029_	wd:Q3866897
dbr:War_Horse__u0028_film_u0029_	wd:Q218589
dbr:Ren_u00E9_e_Elise_Goldsberry	wd:Q2816311
dbr:Aag_Se_Khelenge	wd:Q4661179
dbr:20_Granite_Creek	wd:Q4630567
dbr:Keyboardist	wd:Q1075651
dbr:Nile_Rodgers	wd:Q497759
dbr:Fable_Heroes	wd:Q3737907
dbr:Walter_Byron__u0028_actor_u0029_	wd:Q1418254
dbr:Teignbridge	wd:Q739432
dbr:Andr_u00E9__Roberson	wd:Q13605975
dbr:Abbas_Kiarostami	wd:Q55210
dbr:Pacific_War	wd:Q184425
dbr:Tyler_Perry	wd:Q686301
dbr:Harm_Done	wd:Q5659008
dbr:SKA_Saint_Petersburg	wd:Q911572
dbr:Marked_Woman	wd:Q2542754
dbr:Let_the_Music_Do_the_Talking__u0028_song_u0029_	wd:Q9289896
dbr:Star_Wars_u003A__The_Clone_Wars__u0028_2008_TV_series_u0029_	wd:Q632672
dbr:Duck_Down_Music	wd:Q749583
dbr:Chemist	wd:Q593644
dbr:Ruslan_Zainullin	wd:Q472009
dbr:Eat_the_Document	wd:Q1278397
dbr:True_Colors__u0028_1991_film_u0029_	wd:Q946597
dbr:Love_and_Responsibility	wd:Q6691686
dbr:The_Star_Reporter	wd:Q7766281
dbr:Lonely_Days	wd:Q6671598
dbr:It_Ain_u0027_t_Hay	wd:Q3804027
dbr:Richard_Wilbur	wd:Q1333582
dbr:Love_Is_Noise	wd:Q1452886
dbr:Manute_Bol	wd:Q313479
dbr:Poi_Solla_Porom	wd:Q7207814
dbr:Konstantin_Gorovikov	wd:Q1247371
dbr:Karma__u0028_1986_film_u0029_	wd:Q3411155
dbr:Syro	wd:Q17984981
dbr:Ernakulam_district	wd:Q1356097
dbr:Richard_III__u0028_1995_film_u0029_	wd:Q2501468
dbr:Tales_of_Ithiria	wd:Q1477718
dbr:Donald_Thomas__u0028_athlete_u0029_	wd:Q314573
dbr:EMI	wd:Q183412
dbr:Capture_the_Saint	wd:Q5037085
dbr:While_There_u0027_s_War_There_u0027_s_Hope	wd:Q3745651
dbr:Coffee_and_Cigarettes	wd:Q1106851
dbr:John_de_Gray__u0028_ice_hockey_u0029_	wd:Q3181337
dbr:Nkurenkuru	wd:Q918461
dbr:Women_on_the_Verge_of_a_Nervous_Breakdown	wd:Q643283
dbr:Love_the_Coopers	wd:Q18811608
dbr:Murad_Inoyatov	wd:Q6431448
dbr:Night_Without_End	wd:Q7033562
dbr:Sleeping_in_Light	wd:Q6275124
dbr:Dangerous_Beauty	wd:Q187999
dbr:Nebraska	wd:Q1553
dbr:Ponyo	wd:Q236728
dbr:The_Merchant_of_Venice__u0028_1953_film_u0029_	wd:Q2403143
dbr:5_O_u0027_Clock__u0028_T_u002D_Pain_song_u0029_	wd:Q245440
dbr:Turkmenistan	wd:Q874
dbr:James_Hong	wd:Q358990
dbr:Carolina_Hurricanes	wd:Q201857
dbr:Tara_Dawn_Holland	wd:Q3981018
dbr:Roy_Budd	wd:Q4762
dbr:Four_Sided_Triangle	wd:Q5475537
dbr:Narayan__u0028_writer_u0029_	wd:Q13112872
dbr:Ammar_Aziz	wd:Q4747179
dbr:Wild_Search	wd:Q8000800
dbr:Eleventh_Grade_Burns	wd:Q5359807
dbr:Party_game	wd:Q839864
dbr:William_H_u002E__Pryor_u002C__Jr_u002E_	wd:Q8010558
dbr:Peter_E_u002E__Berger	wd:Q2074618
dbr:Fern_Rivard	wd:Q584504
dbr:Michael_Lally__u0028_poet_u0029_	wd:Q15437561
dbr:Vincent_Price	wd:Q219640
dbr:Bigfoot__u0028_2012_film_u0029_	wd:Q4906834
dbr:Buffy_the_Vampire_Slayer__u0028_2002_video_game_u0029_	wd:Q4035486
dbr:Alien_Love_Triangle	wd:Q1606607
dbr:Silkwood	wd:Q1412037
dbr:Heeze_u002D_Leende	wd:Q9843
dbr:Colin_Firth	wd:Q162492
dbr:The_Name_of_the_Rose__u0028_film_u0029_	wd:Q155018
dbr:Darkling__u0028_Star_Trek_u003A__Voyager_u0029_	wd:Q3514952
dbr:Kalyanam_Panniyum_Brammachari	wd:Q18126516
dbr:Bernardo_Bellotto	wd:Q164688
dbr:The_Wild_Life__u0028_film_u0029_	wd:Q3990025
dbr:Critique_of_Criminal_Reason	wd:Q5186895
dbr:The_Boys_from_Brazil__u0028_film_u0029_	wd:Q464111
dbr:Armed_Audio_Warfare	wd:Q4792955
dbr:Jeffrey_Quill	wd:Q6176218
dbr:Zhejiang	wd:Q16967
dbr:Anna_Christie__u0028_1930_English_u002D_language_film_u0029_	wd:Q185214
dbr:Robert_Wise	wd:Q59821
dbr:The_Birds__u0028_film_u0029_	wd:Q110043
dbr:Invincible__u0028_2001_drama_film_u0029_	wd:Q640762
dbr:Long_Gone__u0028_film_u0029_	wd:Q3921574
dbr:Stuck_in_Love	wd:Q4363611
dbr:University_of_Bonn	wd:Q152171
dbr:The_Folk_Years_2003_u2013_2003	wd:Q7734661
dbr:Sobia_Tahir	wd:Q18392112
dbr:Captured_Angel	wd:Q593278
dbr:Richard_Arlen	wd:Q861426
dbr:Douthyam	wd:Q5302336
dbr:No_News	wd:Q7044632
dbr:Municipality_of_Trebnje	wd:Q13378243
dbr:Ali_Eren_Be_u015F_erler	wd:Q4724775
dbr:The_KLF	wd:Q741316
dbr:The_Magicians_u0027__Guild	wd:Q1401617
dbr:Peter_the_Great__u0028_miniseries_u0029_	wd:Q2267401
dbr:A_Million_Ways_to_Die_in_the_West	wd:Q13582568
dbr:The_Big_Blue	wd:Q517239
dbr:Rotting__u0028_EP_u0029_	wd:Q1756444
dbr:Sotto_Kuchizukete_Gyutto_Dakishimete	wd:Q2714895
dbr:Bullet_with_Butterfly_Wings	wd:Q2744279
dbr:Substitute__u0028_The_Who_song_u0029_	wd:Q3050664
dbr:Chuck_Versus_the_Third_Dimension	wd:Q5115815
dbr:Transkripsi	wd:Q4186767
dbr:Boots__u0028_The_Killers_song_u0029_	wd:Q1987658
dbr:Form__u0026__Function	wd:Q4038918
dbr:Rhum_Barbancourt	wd:Q2725745
